lineup_id,site,game_date,contest_type,p1_id,p2_id,p3_id,p4_id,p5_id,p6_id,p7_id,p8_id,p1_name,p2_name,p3_name,p4_name,p5_name,p6_name,p7_name,p8_name,mean_fpts,total_salary
1,dk,2025-11-30,classic,1628978,1630540,1627759,1630567,1642270,1630577,1642266,1630193,Donte DiVincenzo,Miles McBride,Jaylen Brown,Scottie Barnes,Donovan Clingan,Julian Champagnie,Ja'Kobe Walter,Immanuel Quickley,308.13,50000
2,dk,2025-11-30,classic,1628978,1630540,1627759,1630552,1631230,1630577,1642266,1630700,Donte DiVincenzo,Miles McBride,Jaylen Brown,Jalen Johnson,Dominick Barlow,Julian Champagnie,Ja'Kobe Walter,Dyson Daniels,306.94,49700
3,dk,2025-11-30,classic,1630193,1630540,1627759,1630567,1631230,1630577,1642266,1630700,Immanuel Quickley,Miles McBride,Jaylen Brown,Scottie Barnes,Dominick Barlow,Julian Champagnie,Ja'Kobe Walter,Dyson Daniels,306.82,50000
4,dk,2025-11-30,classic,1628978,1630540,1627759,1631230,1642270,1628404,1630577,1630700,Donte DiVincenzo,Miles McBride,Jaylen Brown,Dominick Barlow,Donovan Clingan,Josh Hart,Julian Champagnie,Dyson Daniels,306.48,49800
5,dk,2025-11-30,classic,1628978,1630540,1630577,203084,1642270,1630700,1627759,1630193,Donte DiVincenzo,Miles McBride,Julian Champagnie,Harrison Barnes,Donovan Clingan,Dyson Daniels,Jaylen Brown,Immanuel Quickley,306.47,50000
6,dk,2025-11-30,classic,1628978,1630540,1627759,1630552,1631230,1630577,1642266,1630193,Donte DiVincenzo,Miles McBride,Jaylen Brown,Jalen Johnson,Dominick Barlow,Julian Champagnie,Ja'Kobe Walter,Immanuel Quickley,306.44,49600
7,dk,2025-11-30,classic,1628978,1630540,1627759,1630567,203497,1630577,1642266,1630700,Donte DiVincenzo,Miles McBride,Jaylen Brown,Scottie Barnes,Rudy Gobert,Julian Champagnie,Ja'Kobe Walter,Dyson Daniels,306.26,50000
8,dk,2025-11-30,classic,1628978,1630540,1627759,1630166,1631230,1628404,1630577,1642266,Donte DiVincenzo,Miles McBride,Jaylen Brown,Deni Avdija,Dominick Barlow,Josh Hart,Julian Champagnie,Ja'Kobe Walter,306.15,49700
9,dk,2025-11-30,classic,1628978,1630540,1627759,1631230,1642270,1628404,1630577,1630193,Donte DiVincenzo,Miles McBride,Jaylen Brown,Dominick Barlow,Donovan Clingan,Josh Hart,Julian Champagnie,Immanuel Quickley,305.97,49700
10,dk,2025-11-30,classic,1628978,1630540,1630577,1630166,1631230,1629652,1627759,1630700,Donte DiVincenzo,Miles McBride,Julian Champagnie,Deni Avdija,Dominick Barlow,Luguentz Dort,Jaylen Brown,Dyson Daniels,305.84,49900
11,dk,2025-11-30,classic,1628978,1630540,1627759,1630567,203497,1630577,1642266,1630193,Donte DiVincenzo,Miles McBride,Jaylen Brown,Scottie Barnes,Rudy Gobert,Julian Champagnie,Ja'Kobe Walter,Immanuel Quickley,305.76,49900
12,dk,2025-11-30,classic,1628978,1630540,1628404,1630552,1642270,1630577,1642266,1630700,Donte DiVincenzo,Miles McBride,Josh Hart,Jalen Johnson,Donovan Clingan,Julian Champagnie,Ja'Kobe Walter,Dyson Daniels,305.43,50000
13,dk,2025-11-30,classic,1628978,1630540,1642266,1630567,1631230,1630700,1627759,1630193,Donte DiVincenzo,Miles McBride,Ja'Kobe Walter,Scottie Barnes,Dominick Barlow,Dyson Daniels,Jaylen Brown,Immanuel Quickley,305.42,49800
14,dk,2025-11-30,classic,1630193,1628404,1627759,1631230,1642270,1630577,1642266,1630700,Immanuel Quickley,Josh Hart,Jaylen Brown,Dominick Barlow,Donovan Clingan,Julian Champagnie,Ja'Kobe Walter,Dyson Daniels,305.41,50000
15,dk,2025-11-30,classic,1630193,1630540,1627759,1630166,1642270,1630577,1642266,1631230,Immanuel Quickley,Miles McBride,Jaylen Brown,Deni Avdija,Donovan Clingan,Julian Champagnie,Ja'Kobe Walter,Dominick Barlow,305.35,50000
16,dk,2025-11-30,classic,1628978,1630540,1630577,1630166,1631230,1629652,1627759,1630193,Donte DiVincenzo,Miles McBride,Julian Champagnie,Deni Avdija,Dominick Barlow,Luguentz Dort,Jaylen Brown,Immanuel Quickley,305.34,49800
17,dk,2025-11-30,classic,1628978,1630577,1627759,1630567,1642270,1642266,1631230,1630700,Donte DiVincenzo,Julian Champagnie,Jaylen Brown,Scottie Barnes,Donovan Clingan,Ja'Kobe Walter,Dominick Barlow,Dyson Daniels,305.3,49700
18,dk,2025-11-30,classic,1628978,1630540,1627759,1630567,1627751,1630577,1642266,1630700,Donte DiVincenzo,Miles McBride,Jaylen Brown,Scottie Barnes,Jakob Poeltl,Julian Champagnie,Ja'Kobe Walter,Dyson Daniels,305.23,49700
19,dk,2025-11-30,classic,1628978,1629638,1627759,1630567,1631230,1630577,1642266,1630193,Donte DiVincenzo,Nickeil Alexander-Walker,Jaylen Brown,Scottie Barnes,Dominick Barlow,Julian Champagnie,Ja'Kobe Walter,Immanuel Quickley,305.2,50000
20,dk,2025-11-30,classic,1628978,1630540,1627759,1630166,1631230,1630577,1642266,1630700,Donte DiVincenzo,Miles McBride,Jaylen Brown,Deni Avdija,Dominick Barlow,Julian Champagnie,Ja'Kobe Walter,Dyson Daniels,305.05,49200
