Player,Team,Minutes,Starter,Status,Play Prob,Position
Mikal Bridges,NYK,41.1312825102946,1,UNK,1.0,W
Cooper Flagg,DAL,39.68525449065459,1,UNK,1.0,W
Scottie Barnes,TOR,38.90179738601904,1,UNK,1.0,W
Brandon Ingram,TOR,38.63408995849728,1,UNK,1.0,W
Josh Hart,NYK,37.65751485742238,1,UNK,1.0,G
Karl-Anthony Towns,NYK,37.17575595253418,1,UNK,1.0,BIG
Kon Knueppel,CHA,37.13670968715842,1,UNK,1.0,W
Cam Spencer,MEM,37.014860106121475,1,UNK,1.0,G
Immanuel Quickley,TOR,36.75763082977267,1,UNK,1.0,G
Anthony Edwards,MIN,36.40765943771939,1,UNK,1.0,G
Naji Marshall,DAL,36.213251884247036,1,UNK,1.0,W
Miles Bridges,CHA,35.92093589673552,1,UNK,1.0,W
Trey Murphy III,NOP,35.67217472679319,1,UNK,1.0,W
Anthony Davis,DAL,35.370252365110375,1,UNK,1.0,BIG
Onyeka Okongwu,ATL,35.311644051809246,1,UNK,1.0,BIG
Jalen Johnson,ATL,35.20028721808459,1,UNK,1.0,W
Tyrese Maxey,PHI,35.1924408466998,1,UNK,1.0,G
Cade Cunningham,DET,35.017087474430205,1,UNK,1.0,G
James Harden,LAC,34.97345253868278,1,UNK,1.0,G
Donte DiVincenzo,MIN,34.92316178681992,1,UNK,1.0,G
Keegan Murray,SAC,34.58968683844481,1,UNK,1.0,W
Michael Porter Jr.,BKN,34.210808777904525,1,UNK,1.0,W
Julius Randle,MIN,34.17013023547162,1,UNK,1.0,BIG
Collin Gillespie,PHX,34.073761359745845,1,UNK,1.0,G
Keyonte George,UTA,34.035575887684836,1,UNK,1.0,G
Rudy Gobert,MIN,33.64302618397678,1,UNK,1.0,BIG
Santi Aldama,MEM,33.57326545303174,1,UNK,1.0,BIG
Kevin Porter Jr.,MIL,33.51003449886382,1,UNK,1.0,W
Brandon Miller,CHA,33.487634107070356,1,UNK,1.0,W
LeBron James,LAL,33.47266318903293,1,UNK,1.0,W
Nickeil Alexander-Walker,ATL,33.33167768462497,1,UNK,1.0,G
Desmond Bane,ORL,33.31959834042179,1,UNK,1.0,G
Paolo Banchero,ORL,33.30519384001828,1,UNK,1.0,W
Cameron Johnson,DEN,33.29973969429677,1,UNK,1.0,W
Kawhi Leonard,LAC,33.04749655995985,1,UNK,1.0,W
Anthony Black,ORL,33.03674903647505,1,UNK,1.0,G
Nikola Jokić,DEN,32.966402884933814,1,UNK,1.0,BIG
Jamal Murray,DEN,32.917615212662035,1,UNK,1.0,G
Saddiq Bey,NOP,32.64080660971982,1,UNK,1.0,W
Duncan Robinson,DET,32.62070036113254,1,UNK,1.0,W
Bennedict Mathurin,IND,32.60039650638608,1,UNK,1.0,W
Devin Booker,PHX,32.575285941515574,1,UNK,1.0,G
Deni Avdija,POR,32.53572666855835,1,UNK,1.0,W
Pascal Siakam,IND,32.49786340488607,1,UNK,1.0,W
Derik Queen,NOP,32.36949160789314,1,UNK,1.0,BIG
Donovan Mitchell,CLE,32.34472908943453,1,UNK,1.0,G
Jaylen Wells,MEM,32.310458024652746,1,UNK,1.0,W
Andrew Nembhard,IND,32.22104333591039,1,UNK,1.0,W
Darius Garland,CLE,32.04704076945629,1,UNK,1.0,G
Josh Giddey,CHI,31.936312035701608,1,UNK,1.0,G
Jaren Jackson Jr.,MEM,31.84023739716964,1,UNK,1.0,BIG
Paul George,PHI,31.837658927144716,1,UNK,1.0,W
Shai Gilgeous-Alexander,OKC,31.830673933414634,1,UNK,1.0,G
Amen Thompson,HOU,31.636899496978913,1,UNK,1.0,W
Ryan Nembhard,DAL,31.567953620034046,1,UNK,1.0,G
Jake LaRavia,LAL,31.282281267119558,1,UNK,1.0,W
Jabari Smith Jr.,HOU,31.261660179154838,1,UNK,1.0,W
Kevin Durant,HOU,31.091476480301775,1,UNK,1.0,W
DeMar DeRozan,SAC,30.907511551365783,1,UNK,1.0,W
Dillon Brooks,PHX,30.78385816020276,1,UNK,1.0,W
Norman Powell,MIA,30.747336024777304,1,UNK,1.0,G
Alperen Sengun,HOU,30.626611084298055,1,UNK,1.0,BIG
Coby White,CHI,30.46371561876005,1,UNK,1.0,G
Nikola Vučević,CHI,30.358248631540967,1,UNK,1.0,BIG
Tyler Kolek,NYK,30.34767081689102,1,UNK,1.0,G
Tobias Harris,DET,30.32855054572004,1,UNK,1.0,W
De'Aaron Fox,SAS,30.207040681889723,1,UNK,1.0,G
Bobby Portis,MIL,30.13027119900386,1,UNK,1.0,W
Mitchell Robinson,NYK,30.095542536705675,1,UNK,1.0,BIG
Devin Vassell,SAS,30.07664300991241,1,UNK,1.0,W
Royce O'Neale,PHX,30.01993824924768,1,UNK,1.0,W
Stephon Castle,SAS,29.975476525548775,1,UNK,1.0,G
Maxime Raynaud,SAC,29.756976727186963,1,UNK,1.0,BIG
Noah Clowney,BKN,29.739495024229175,1,UNK,1.0,BIG
Kyle Kuzma,MIL,29.65491019727249,1,UNK,1.0,W
Nic Claxton,BKN,29.625671502314997,1,UNK,1.0,BIG
Wendell Carter Jr.,ORL,29.483072596157243,1,UNK,1.0,BIG
Myles Turner,MIL,29.472437812757313,1,UNK,1.0,BIG
Ace Bailey,UTA,29.45987861107816,1,UNK,1.0,W
Jalen Williams,OKC,29.401945403637676,1,UNK,1.0,W
LaMelo Ball,CHA,29.3537822859133,1,UNK,1.0,G
CJ McCollum,WAS,29.34191385571865,1,UNK,1.0,G
Bam Adebayo,MIA,29.230127293409755,1,UNK,1.0,BIG
Kyshawn George,WAS,29.12703498706572,1,UNK,1.0,W
John Collins,LAC,29.08897032063175,1,UNK,1.0,BIG
Luke Kornet,SAS,29.008225454757767,1,UNK,1.0,BIG
