Player,Team,Exp_2.0,Starter,Exp_2.5,Exp_3.0
Keyonte George,UTA,58.69196826553653,1,71.05417798267072,83.74356250885096
Tyrese Maxey,PHI,53.94439954166269,1,63.535423078203024,73.11622897875111
Cade Cunningham,DET,47.02758176598887,1,54.425969077761515,61.874763274037406
Brandon Ingram,TOR,48.31808609317014,1,54.889157826291765,60.993739916811826
Paolo Banchero,ORL,50.614096067376465,1,56.12383316463236,60.84085730738765
Shai Gilgeous-Alexander,OKC,43.28720672592864,1,50.59360652374623,58.12622086570152
Miles Bridges,CHA,45.05252422733697,1,51.54564651400434,57.98481395421568
Deni Avdija,POR,42.74043881121571,1,49.35537742267726,55.80747374155824
Mikal Bridges,NYK,45.245305469494156,1,50.418322765517246,55.20321481038923
Desmond Bane,ORL,47.19915870636647,1,51.431097361176484,54.78850927683634
Anthony Davis,DAL,44.75726855395023,1,49.893371852248116,54.41545810266428
Pascal Siakam,IND,43.310815191018165,1,49.00111950156573,54.185470347794606
Anthony Black,ORL,46.14765442423225,1,50.002878776116084,52.967874408412634
James Harden,LAC,42.913679768750235,1,48.12311048379184,52.89263643789381
Josh Giddey,CHI,39.506660331887595,1,45.638713413014926,51.64958826139868
John Collins,LAC,41.894394496674856,1,46.69860344808262,51.01941302164004
Cameron Johnson,DEN,41.81419100537974,1,46.2754272928822,50.29645348389014
Michael Porter Jr.,BKN,39.85209347475541,1,44.82775410323156,49.58613902064266
Josh Hart,NYK,41.92896740641637,1,45.84206759513714,49.24649585655748
Devin Booker,PHX,39.23985221396233,1,44.145862650308686,48.85406031456195
Bennedict Mathurin,IND,40.346925184266176,1,44.84598924205844,48.71962927705089
Keegan Murray,SAC,38.999024789775305,1,43.75104901796558,48.39806520253531
Kevin Durant,HOU,39.87685840729683,1,44.33512325961845,48.33706548649859
Austin Reaves,LAL,38.76669036309158,0,43.62249615404708,48.15122444106763
Kevin Porter Jr.,MIL,38.24327601622855,1,43.14246262616206,47.85369453560338
Cam Spencer,MEM,39.739632881138185,1,43.80736237810751,47.496791704921314
Nikola Jokić,DEN,40.07539198118002,1,43.88266937913504,47.192010883459794
Bobby Portis,MIL,37.82335035637998,1,42.55112689173723,47.067684589154965
Anthony Edwards,MIN,39.20689549296078,1,43.36285702102249,46.94410645753121
Alperen Sengun,HOU,39.05911102381084,1,43.201586241884264,46.857855491828786
Scottie Barnes,TOR,40.44375783956008,1,43.94543724464128,46.708716184269946
Kawhi Leonard,LAC,39.42038850860648,1,43.27729628357582,46.567500846454394
Donovan Mitchell,CLE,37.87392043668037,1,42.23309107236911,46.53670371803591
Noah Clowney,BKN,38.08791598429294,1,42.36108436704164,46.330223890965684
Collin Gillespie,PHX,37.66502333971437,1,41.94243160732745,45.94274933732446
Naji Marshall,DAL,39.906203926831466,1,43.227877172383934,45.812875765653246
Donte DiVincenzo,MIN,38.2158385436913,1,41.99707671224827,45.175449717615024
Ace Bailey,UTA,38.59651826524755,1,42.07764630053175,44.65865253112847
Jaren Jackson Jr.,MEM,37.99311377240555,1,41.41411661460202,44.40029250181704
Cooper Flagg,DAL,38.87619596710866,1,41.837727814374226,44.05067542899612
DeMar DeRozan,SAC,36.56065479963773,1,40.35884632290712,43.9307206420597
Immanuel Quickley,TOR,38.65321261235515,1,41.52708126303346,43.641439976912686
Duncan Robinson,DET,37.21212314893064,1,40.61822336400097,43.55231592599539
Andrew Nembhard,IND,37.30881468768984,1,40.665383203968,43.32169972979058
Julius Randle,MIN,37.142273186878356,1,40.52755647977212,43.285268360219874
Jalen Williams,OKC,35.42390467208353,1,39.37918505126371,43.03059885977053
Derik Queen,NOP,34.48705930908062,1,38.80519093901924,42.94535476505608
Amen Thompson,HOU,36.250087804022506,1,39.353474175727065,41.895026650162684
P.J. Washington,DAL,37.55908986945859,0,40.073494150694295,41.83112241303883
Paul George,PHI,37.11882180503294,1,39.817656941879136,41.7335677348663
De'Aaron Fox,SAS,34.688329118269706,1,38.37839259600571,41.68690419679119
Kon Knueppel,CHA,35.86316989449752,1,38.75733635979571,41.18210912989878
Jamal Murray,DEN,36.582405488280735,1,39.15490172097101,41.158563030166874
Darius Garland,CLE,34.82020648896278,1,38.02040323605843,41.02345536142417
Rudy Gobert,MIN,35.81954566903011,1,38.731552996730365,40.993736380149606
LeBron James,LAL,34.614982969002796,1,37.86319507771745,40.62706327416953
Jake LaRavia,LAL,34.46526069188026,1,37.658590924377876,40.363758473522736
Joel Embiid,PHI,36.28628562249274,1,38.704469169430006,40.3374101843618
Stephon Castle,SAS,33.92139747748827,1,37.32069516185575,40.31207713346278
Saddiq Bey,NOP,32.745782113548096,1,36.37171919573766,39.73424821998837
Maxime Raynaud,SAC,33.68598845780212,1,36.43199099707711,38.852710562656405
Nickeil Alexander-Walker,ATL,33.960401166428404,1,36.55191039150691,38.80076227491927
Brandon Miller,CHA,34.31882220815923,1,36.682468103810514,38.550865871892114
Trae Young,ATL,33.72407449382482,1,36.234236574199336,38.396452393808
Jabari Smith Jr.,HOU,34.18134156835079,1,36.56647783198414,38.36034752300012
Matas Buzelis,CHI,32.35558095486168,1,35.55756375866381,38.28116880945396
Nic Claxton,BKN,33.30877424491813,1,35.8246016052534,37.88973429735776
Devin Vassell,SAS,32.50093969688385,1,35.37752546256867,37.806671994852884
Wendell Carter Jr.,ORL,36.64825465352157,1,37.48647373538006,37.48590862683323
Mitchell Robinson,NYK,34.748806650670076,1,36.24902724046472,37.15471418983581
Coby White,CHI,31.69018768353087,1,34.64587298592963,37.10638130109161
Dyson Daniels,ATL,32.666986955024896,0,34.82013210398739,36.605358006822826
Santi Aldama,MEM,33.29406896655471,1,35.113642678924904,36.42325976603434
Kyshawn George,WAS,30.042891435888915,1,33.15820394613044,36.02644361015736
Jalen Johnson,ATL,32.30404801744849,1,34.33722936798565,35.99701265697329
CJ McCollum,WAS,30.01478875631337,1,33.11943747951077,35.97590572488683
Nikola Vučević,CHI,31.032233721501672,1,33.749068595165824,35.95679237788973
Marcus Smart,LAL,31.89750122778681,1,34.184791446470825,35.93802788518815
Jaylen Wells,MEM,32.92528454454397,1,34.62814384998986,35.81977093799606
Karl-Anthony Towns,NYK,33.39666837091405,1,34.494544813783186,35.007314732338195
Myles Turner,MIL,31.03651183691951,1,33.23167281562408,34.9858314222203
Jerami Grant,POR,31.29181338516863,0,33.42521203545395,34.96069003419871
Bam Adebayo,MIA,28.695819266744877,1,31.33341565437264,33.80506345071905
Onyeka Okongwu,ATL,30.563260773318362,1,32.04008608514103,33.126882743389025
Ethan Thompson,IND,30.702505950229202,1,31.87335904128629,32.34067252132377
Ochai Agbaji,TOR,31.465388538508027,1,32.110035580375516,32.053121284476624
Bryce McGowens,NOP,28.336437071909092,1,30.356463347527406,31.98525465697922
Shaedon Sharpe,POR,29.358137048013226,1,30.86358518611144,31.77068939894418
Donovan Clingan,POR,29.28446045530179,1,30.766797282836766,31.651167836029586
Davion Mitchell,MIA,27.44680032350103,1,29.638014619922004,31.622150193401545
Ausar Thompson,DET,29.97908718216903,1,31.001904061511137,31.492866141434416
Chet Holmgren,OKC,28.745104652823006,1,30.328508550683402,31.454195784293695
Andrew Wiggins,MIA,27.25719632958636,1,29.382309719563228,31.295045431564223
Egor Dëmin,BKN,29.230105867073494,1,30.427834191191376,31.147928254143476
Bilal Coulibaly,WAS,27.185389162502005,1,29.263972558467565,31.01074010875014
Jeremiah Fears,NOP,27.7178551681611,1,29.53038752732761,30.94363862940345
Kris Dunn,LAC,29.904103080835934,1,30.638850805754245,30.76789271086591
Peyton Watson,DEN,30.117449080847916,1,30.705667662572516,30.745325273710876
Harrison Barnes,SAS,28.081058204968876,1,29.469610240040865,30.36300682219939
Dillon Brooks,PHX,28.438526112978064,1,29.51988487407535,30.141873736985016
Kyle Filipowski,UTA,29.681774078322853,1,30.302509487895477,30.117450399908137
Bub Carrington,WAS,26.343762108000767,0,28.135917561127524,29.581861107793376
Cedric Coward,MEM,28.97510019995156,0,29.51538652433609,29.570993695992154
Trey Murphy III,NOP,26.730802022857272,1,28.221793289469037,29.305553806560958
Sam Merrill,CLE,27.76069252668522,1,28.642796058938313,29.203215168913147
Luke Kornet,SAS,27.347697515010474,1,28.510741628167658,29.181373151354332
Royce O'Neale,PHX,27.699031376325355,1,28.56350720208222,28.97386905305957
Alex Sarr,WAS,25.706487653397428,1,27.28772095200042,28.514969578014785
Tobias Harris,DET,28.040674829448974,1,28.516809739077523,28.488348363397115
Kel'el Ware,MIA,25.505927263906187,1,27.041815817994,28.32797223851549
Sandro Mamukelashvili,TOR,28.841046647566245,1,28.79805683355339,28.12789317706587
Ryan Nembhard,DAL,28.700616410091044,1,28.63040010313698,27.94240379132812
Mark Williams,PHX,26.892778321333456,1,27.52804654162451,27.718078959897845
Tyler Kolek,NYK,27.938984350598247,1,27.598454112927396,26.786748778564164
Deandre Ayton,LAL,26.172708910161184,1,26.69610796068526,26.71112991541293
Russell Westbrook,SAC,26.131111306916395,1,26.52275517089487,26.54508982636425
Jaime Jaquez Jr.,MIA,24.234134998836055,0,25.36698534243184,26.235847456724734
Terance Mann,BKN,26.0291977295259,1,26.321402949756063,26.174280783851433
Jalen Duren,DET,26.25351659496021,1,26.26332554673707,25.80868078539494
Toumani Camara,POR,25.543055601611677,1,25.934436573850515,25.78357723918507
Jay Huff,IND,26.26271643752561,1,26.220146286860913,25.585727922449173
Dean Wade,CLE,25.346492673819363,1,25.563768799747177,25.47780637487844
Khris Middleton,WAS,23.716973701841376,1,24.673907254808547,25.26956162181067
Naz Reid,MIN,25.910406562366127,0,25.837923271739328,25.220212169425487
Jarrett Allen,CLE,25.12636422242184,1,25.286551424636254,25.14662472637141
Jared McCain,PHI,26.32019110791784,1,25.90861932513028,24.918838578024857
LaMelo Ball,CHA,25.42271275541694,1,25.209860540193883,24.579237752747932
Norman Powell,MIA,22.955008065670793,1,23.70452550984713,24.18633073941786
Jabari Walker,PHI,25.722740540956266,1,25.175581958588783,24.075210608706943
Collin Sexton,CHA,24.81160573292553,0,24.454662266262666,23.69833759113724
Kris Murray,POR,23.995734839772567,1,23.985751183158158,23.476588076853215
Zaccharie Risacher,ATL,24.238181597228703,1,23.97833974183472,23.395433270298884
Tyler Herro,MIA,22.32653493018462,0,22.89607883981105,23.199883379176896
Svi Mykhailiuk,UTA,24.913022578440113,1,24.344412820906687,23.15917334904327
Isaac Okoro,CHI,23.09942466500032,1,23.334416675667406,23.09208411287937
Kyle Kuzma,MIL,23.2813707351632,1,23.199133010598146,22.72980244300549
De'Andre Hunter,CLE,23.42079536775401,0,23.159521933031733,22.630163087586432
Jock Landale,MEM,24.03818212936612,0,23.369225460660264,22.345029429943033
Malik Monk,SAC,23.107548640760665,0,22.74383161774842,22.073855404214836
AJ Green,MIL,22.348108285074463,1,22.04255993617184,21.376863869305975
Bruce Brown,DEN,23.417743163086445,0,22.41956140892219,21.07994011163222
Isaiah Hartenstein,OKC,22.008627753041846,1,21.721378947822792,21.072797409507796
Luguentz Dort,OKC,21.77903978480516,1,21.438509915465712,20.743920381637263
Sion James,CHA,22.64535257966088,0,21.815588780356702,20.663515248386478
Spencer Jones,DEN,23.004769303693116,1,21.92644213574958,20.524786042793437
Oso Ighodaro,PHX,21.830957863788463,0,21.2115201153288,20.273036708666723
Cason Wallace,OKC,21.43416139484621,0,21.014995762636428,20.253145807077015
Josh Okogie,HOU,22.22587618452411,1,21.351105340177632,20.113479756952284
Ryan Rollins,MIL,21.355935278863694,0,20.82616556346743,19.969203147993476
Tim Hardaway Jr.,DEN,22.340102307061507,0,21.13743383705487,19.641721613840758
Isaiah Collier,UTA,22.26857930260552,0,21.15835576659145,19.571413246038198
Jaylon Tyson,CLE,21.127483152236568,0,20.360444068404444,19.389065174527282
Sidy Cissoko,POR,20.582671525969758,0,19.799897206137658,18.650329692253187
Zion Williamson,NOP,19.587776991141045,0,19.133792436208832,18.382715893470625
Julian Champagnie,SAS,19.618630463866495,0,18.823198126315287,17.730770273817843
Lonzo Ball,CLE,19.798230803050338,0,18.77199886884116,17.588337825243453
Isaiah Stewart,DET,19.895028926558844,0,18.56932341544986,17.02556142954322
Precious Achiuwa,SAC,19.2018810771961,1,18.044755675932574,16.72103065224418
Gary Trent Jr.,MIL,18.952897064251125,0,17.939303461754882,16.695377637528484
Moussa Diabaté,CHA,19.62103344069636,1,18.236665299334213,16.665501677857
Victor Wembanyama,SAS,18.5325170812315,0,17.529743693355453,16.278942390028025
Jordan Clarkson,NYK,19.63679964718194,0,17.760691662578488,15.783748297342491
Bogdan Bogdanović,LAC,18.87503179830714,0,17.237275005001784,15.428834438658836
Nick Smith Jr.,LAL,18.10292167235047,1,16.839257830032178,15.365342863029701
Mike Conley,MIN,18.378783345957626,1,16.819410394105866,15.0665054064375
Marvin Bagley III,WAS,16.781438492304954,0,16.01217469913765,15.04016421173326
Dennis Schröder,SAC,17.81131854140898,0,16.426361452028328,14.937966653766454
Brook Lopez,LAC,18.384653264276373,1,16.67931842369641,14.831488729506612
Danny Wolf,BKN,17.53050912636329,0,16.059285429906645,14.466896585854869
Tyus Jones,ORL,19.286840787189913,1,16.802903680631886,14.311321580138676
Vít Krejčí,ATL,17.35775869795927,0,15.796509168421608,14.17821344138762
Reed Sheppard,HOU,17.4427895079232,0,15.771270291683903,13.9837221667197
Jordan Goodwin,PHX,16.822709039783227,0,15.314425902321412,13.713664487855477
Jose Alvarado,NOP,15.455549875723172,0,14.229026755534795,12.884235083688802
Ayo Dosunmu,CHI,15.407992082853216,0,14.066240969900043,12.579994639081958
Ariel Hukporti,NYK,16.49261374780515,0,14.280169040963465,12.148937982330155
Dylan Harper,SAS,15.103425024546123,0,13.573812939546231,11.976715648555945
Steven Adams,HOU,15.419301960221357,0,13.518473115768908,11.622403444709905
Branden Carlson,OKC,14.672685509831906,0,13.085285342748032,11.470891136405559
Nicolas Batum,LAC,15.389954197366167,0,13.35536170779624,11.359456998589481
Kevin Love,UTA,15.408288619820889,1,13.352398428661486,11.264580638552792
Jamal Shead,TOR,15.62791174368714,0,13.388305098289454,11.219463848493296
Jericho Sims,MIL,14.363080998707902,0,12.68441912084723,11.014232899147604
Jarred Vanderbilt,LAL,14.354577365177537,0,12.600132702554824,10.849378548517647
Pelle Larsson,MIA,13.065161709799897,0,11.718659654268675,10.38546620872133
Caris LeVert,DET,14.152161664983492,0,12.130922770245803,10.214538533833121
