Player,Team,Rot_2.0,Starter,Rot_2.5,Rot_3.0
Mikal Bridges,NYK,41.1312825102946,1,41.1312825102946,41.1312825102946
Cooper Flagg,DAL,39.68525449065459,1,39.68525449065459,39.68525449065459
Scottie Barnes,TOR,38.90179738601904,1,38.90179738601904,38.90179738601904
Brandon Ingram,TOR,38.63408995849728,1,38.63408995849728,38.63408995849728
Josh Hart,NYK,37.65751485742238,1,37.65751485742238,37.65751485742238
Karl-Anthony Towns,NYK,37.17575595253418,1,37.17575595253418,37.17575595253418
Kon Knueppel,CHA,37.13670968715842,1,37.13670968715842,37.13670968715842
Cam Spencer,MEM,37.014860106121475,1,37.014860106121475,37.014860106121475
Immanuel Quickley,TOR,36.75763082977267,1,36.75763082977267,36.75763082977267
Anthony Edwards,MIN,36.40765943771939,1,36.40765943771939,36.40765943771939
Naji Marshall,DAL,36.213251884247036,1,36.213251884247036,36.213251884247036
Miles Bridges,CHA,35.92093589673552,1,35.92093589673552,35.92093589673552
Trey Murphy III,NOP,35.67217472679319,1,35.67217472679319,35.67217472679319
Anthony Davis,DAL,35.370252365110375,1,35.370252365110375,35.370252365110375
Onyeka Okongwu,ATL,35.311644051809246,1,35.311644051809246,35.311644051809246
Jalen Johnson,ATL,35.20028721808459,1,35.20028721808459,35.20028721808459
Tyrese Maxey,PHI,35.1924408466998,1,35.1924408466998,35.1924408466998
Cade Cunningham,DET,35.017087474430205,1,35.017087474430205,35.017087474430205
James Harden,LAC,34.97345253868278,1,34.97345253868278,34.97345253868278
Donte DiVincenzo,MIN,34.92316178681992,1,34.92316178681992,34.92316178681992
Keegan Murray,SAC,34.58968683844481,1,34.58968683844481,34.58968683844481
Michael Porter Jr.,BKN,34.210808777904525,1,34.210808777904525,34.210808777904525
Julius Randle,MIN,34.17013023547162,1,34.17013023547162,34.17013023547162
Collin Gillespie,PHX,34.073761359745845,1,34.073761359745845,34.073761359745845
Keyonte George,UTA,34.035575887684836,1,34.035575887684836,34.035575887684836
Rudy Gobert,MIN,33.64302618397678,1,33.64302618397678,33.64302618397678
Santi Aldama,MEM,33.57326545303174,1,33.57326545303174,33.57326545303174
Kevin Porter Jr.,MIL,33.51003449886382,1,33.51003449886382,33.51003449886382
Brandon Miller,CHA,33.487634107070356,1,33.487634107070356,33.487634107070356
LeBron James,LAL,33.47266318903293,1,33.47266318903293,33.47266318903293
Nickeil Alexander-Walker,ATL,33.33167768462497,1,33.33167768462497,33.33167768462497
Desmond Bane,ORL,33.31959834042179,1,33.31959834042179,33.31959834042179
Paolo Banchero,ORL,33.30519384001828,1,33.30519384001828,33.30519384001828
Cameron Johnson,DEN,33.29973969429677,1,33.29973969429677,33.29973969429677
Kawhi Leonard,LAC,33.04749655995985,1,33.04749655995985,33.04749655995985
Anthony Black,ORL,33.03674903647505,1,33.03674903647505,33.03674903647505
Nikola Jokić,DEN,32.966402884933814,1,32.966402884933814,32.966402884933814
Jamal Murray,DEN,32.917615212662035,1,32.917615212662035,32.917615212662035
Saddiq Bey,NOP,32.64080660971982,1,32.64080660971982,32.64080660971982
Duncan Robinson,DET,32.62070036113254,1,32.62070036113254,32.62070036113254
Bennedict Mathurin,IND,32.60039650638608,1,32.60039650638608,32.60039650638608
Devin Booker,PHX,32.575285941515574,1,32.575285941515574,32.575285941515574
Deni Avdija,POR,32.53572666855835,1,32.53572666855835,32.53572666855835
