score_date,window_start,window_end,n,n_bucket,s,delta_p10,delta_p90,strategy,bucket_name,bucket_source,cold_start_used,recent_rows,window_ess,cap_bound_p10,cap_bound_p90,cap_value_p10_up,cap_value_p10_down,cap_value_p90_up,cap_value_p90_down,cap_value_p10,cap_value_p90,global_recent_weight_p10,global_recent_weight_p90,global_recent_rows,bucket_inherited,bucket_ess
2025-10-21,2025-09-30,2025-10-21,0,,0.0,0.0,-0.0007022637051029674,rolling,,window,1,0,0.0,0,0,0.4,0.15,0.3,0.2,0.4,0.3,0.0,0.0,0,,
2025-10-22,2025-10-01,2025-10-22,35,,0.0,0.0,-0.000644912169186225,rolling,,window,1,35,34.99999999999999,0,0,0.3766666666666667,0.14416666666666667,0.2825,0.18833333333333335,0.3766666666666667,0.2825,0.19444444444444445,0.11666666666666667,35,,
2025-10-23,2025-10-02,2025-10-23,239,,0.0,0.0,-0.0002934291847821899,rolling,,window,1,239,238.85924259407227,0,0,0.2406666666666667,0.11016666666666668,0.1805,0.12033333333333335,0.2406666666666667,0.1805,1.0,0.7966666666666666,239,,
2025-10-24,2025-10-03,2025-10-24,523,,0.7771173848439822,-0.1,-0.07008802875543466,rolling,,window,0,523,522.6722854914735,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,523,,
2025-10-25,2025-10-04,2025-10-25,693,,0.8220640569395018,-0.1,-0.09102640862663039,rolling,,window,0,693,691.072807992023,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,693,,
2025-10-26,2025-10-05,2025-10-26,1078,,0.8778501628664495,-0.1,-0.0973079225879891,rolling,,window,0,1078,1072.9765222826015,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,1078,,
2025-10-27,2025-10-06,2025-10-27,1391,,0.9026606099935107,-0.1,-0.09919237677639672,rolling,,window,0,1391,1380.3592852320965,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,1391,,
2025-10-28,2025-10-07,2025-10-28,1528,,0.9106078665077473,-0.1,-0.09975771303291901,rolling,,window,0,1528,1513.9875706025707,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,1528,,
2025-10-29,2025-10-08,2025-10-29,1913,,0.9272903538536112,-0.1,-0.09992731390987569,rolling,,window,0,1913,1888.2834345160247,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,1913,,
2025-10-30,2025-10-09,2025-10-30,2153,,0.9348675640468953,-0.1,-0.09997819417296269,rolling,,window,0,2153,2116.981596822942,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,2153,,
2025-10-31,2025-10-10,2025-10-31,2401,,0.9411995295962368,-0.1,-0.0999934582518888,rolling,,window,0,2401,2352.858858772439,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,2401,,
2025-11-01,2025-10-11,2025-11-01,2609,,0.9456324755346139,-0.1,-0.09999803747556663,rolling,,window,0,2609,2544.6454395710393,1,1,0.2,0.1,0.15,0.1,0.2,0.15,0.0,0.0,0,,
2025-11-04,2025-10-14,2025-11-04,2785,,0.948892674616695,-0.1,-0.09999941124266998,rolling,,window,0,2785,2706.327356678649,1,1,0.2,0.1,0.15,0.1,0.2,0.15,0.9777777777777777,0.5866666666666667,176,,
2025-11-06,2025-10-16,2025-11-06,2785,,0.948892674616695,-0.1,-0.09999982337280099,rolling,,window,0,2546,2706.3273566786493,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,385,,
2025-11-10,2025-10-20,2025-11-10,2785,,0.948892674616695,-0.1,-0.09999994701184028,rolling,,window,0,1394,2706.327356678648,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,419,,
2025-11-11,2025-10-21,2025-11-11,2785,,0.948892674616695,-0.1,-0.09999998410355207,rolling,,window,0,1257,2706.3273566786493,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,735,,
2025-11-17,2025-10-27,2025-11-17,1394,,0.9028497409326425,-0.15,-0.1699999952310656,rolling,,window,0,0,1382.5136973814908,1,1,0.4,0.15,0.3,0.2,0.4,0.3,1.0,1.0,946,,
2025-11-18,2025-10-28,2025-11-18,1432,,0.9051833122629582,-0.12083333333333333,-0.15016666523598632,rolling,,window,0,175,1150.5082198233931,1,1,0.2833333333333333,0.12083333333333333,0.2125,0.14166666666666666,0.2833333333333333,0.2125,1.0,1.0,1121,,
