score_date,window_start,window_end,n,n_bucket,s,delta_p10,delta_p90,strategy,bucket_name,bucket_source,cold_start_used,recent_rows,window_ess,cap_bound_p10,cap_bound_p90,cap_value_p10_up,cap_value_p10_down,cap_value_p90_up,cap_value_p90_down,cap_value_p10,cap_value_p90,global_recent_weight_p10,global_recent_weight_p90,global_recent_rows,bucket_inherited,bucket_ess
2025-10-21,2025-09-30,2025-10-21,0,,0.0,0.0,-0.0034340225518241798,rolling,,window,1,0,0.0,0,0,0.4,0.15,0.3,0.2,0.4,0.3,0.0,0.0,0,,
2025-10-22,2025-10-01,2025-10-22,35,,0.0,0.0,-0.0028811449209804867,rolling,,window,1,35,34.99999999999999,0,0,0.3766666666666667,0.14416666666666667,0.2825,0.18833333333333335,0.3766666666666667,0.2825,0.38333333333333336,0.23,69,,
2025-10-23,2025-10-02,2025-10-23,239,,0.0,0.0,-0.000864343476294146,rolling,,window,1,239,238.85924259407227,0,0,0.2406666666666667,0.11016666666666668,0.1805,0.12033333333333335,0.2406666666666667,0.1805,1.0,1.0,487,,
2025-10-24,2025-10-03,2025-10-24,523,,0.7771173848439822,-0.1,-0.07025930304288823,rolling,,window,0,523,522.6722854914735,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,557,,
2025-10-25,2025-10-04,2025-10-25,693,,0.8220640569395018,-0.1,-0.09107779091286647,rolling,,window,0,693,691.072807992023,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,973,,
2025-10-26,2025-10-05,2025-10-26,1078,,0.8778501628664495,-0.1,-0.09732333727385993,rolling,,window,0,1078,1072.9765222826015,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,1148,,
2025-10-27,2025-10-06,2025-10-27,1391,,0.9026606099935107,-0.1,-0.09919700118215796,rolling,,window,0,1391,1380.3592852320965,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,1461,,
2025-10-28,2025-10-07,2025-10-28,1528,,0.9106078665077473,-0.1,0.06013421245520033,rolling,,window,0,1528,1513.9875706025707,1,0,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,1843,,
2025-10-29,2025-10-08,2025-10-29,1913,,0.9272903538536112,-0.1,0.1230402637365601,rolling,,window,0,1913,1888.2834345160247,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,2018,,
2025-10-30,2025-10-09,2025-10-30,2153,,0.9348675640468953,-0.1,0.14191207912096804,rolling,,window,0,2153,2116.981596822942,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,2366,,
2025-10-31,2025-10-10,2025-10-31,2401,,0.9411995295962368,-0.1,0.05081028236261809,rolling,,window,0,2401,2352.858858772439,1,0,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,2507,,
2025-11-01,2025-10-11,2025-11-01,2609,,0.9456324755346139,-0.1,0.05430740848568341,rolling,,window,0,2609,2544.6454395710393,1,0,0.2,0.1,0.15,0.1,0.2,0.15,0.0,0.0,0,,
2025-11-02,2025-10-12,2025-11-02,2927,,0.951251218719532,-0.1,0.12129222254570501,rolling,,window,0,2927,2833.7924714797928,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,0.7033333333333334,211,,
2025-11-03,2025-10-13,2025-11-03,3172,,0.954846478025286,-0.1,0.09664017232681518,rolling,,window,0,3172,3050.488610354468,1,0,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,491,,
2025-11-04,2025-10-14,2025-11-04,3276,,0.9562171628721541,-0.1,0.06535940106797915,rolling,,window,0,3276,3143.0553575868585,1,0,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,807,,
2025-11-05,2025-10-15,2025-11-05,3592,,0.9599144842330305,-0.1,0.09030543380497313,rolling,,window,0,3557,3416.652556278823,1,0,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,1016,,
2025-11-06,2025-10-16,2025-11-06,3801,,0.9620349278663629,-0.1,0.09898365849950277,rolling,,window,0,3562,3593.4683566227677,1,0,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,1403,,
2025-11-07,2025-10-17,2025-11-07,4188,,0.9654218533886584,-0.1,0.13469509754985082,rolling,,window,0,3665,3916.4709424642647,1,1,0.2,0.1,0.15,0.1,0.2,0.15,1.0,1.0,1437,,
