player_name,team,pos,salary,actual_own_pct,contest_id,sport,site,slate_id,scraped_at,player_id,salary_id
Giannis Antetokounmpo,MIL,PF/C,11700,51.52,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,178,1389932
Olivier-Maxence Prosper,DAL,PF,3300,47.56,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,1705,1390025
Cade Cunningham,DET,PG,10200,36.2,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,1409,1389934
Desmond Bane,MEM,SG,7700,35.63,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,1362,1389950
Kylor Kelley,DAL,C,3000,34.34,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,1809,1390094
Jalen Duren,DET,C,6200,31.91,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,1541,1389964
Quentin Grimes,DAL,SG/SF,4300,28.31,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,1395,1389991
Luke Kennard,MEM,PG/SG,4500,26.79,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,836,1389987
Kawhi Leonard,LAC,SF/PF,6700,25.11,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,447,1389959
Nikola Vucevic,CHI,C,8100,24.22,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,251,1389945
Spencer Dinwiddie,DAL,PG/SG,5100,23.8,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,146,1389975
Damian Lillard,MIL,PG,8800,23.09,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,526,1389941
James Harden,LAC,PG,9100,20.9,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,425,1389939
Coby White,CHI,PG/SG,6100,20.87,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,1131,1389965
Naji Marshall,DAL,SF/PF,4400,20.47,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,1344,1389989
Jaden Hardy,DAL,PG,3300,18.56,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,1588,1390024
Kevin Porter Jr.,LAC,PG,3500,17.87,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,1134,1390018
Klay Thompson,DAL,SG/SF,5000,16.0,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,308,1389977
Jaren Jackson Jr.,MEM,PF/C,8100,14.2,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,1059,1389946
Josh Giddey,CHI,PG,6800,13.9,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,1445,1389958
Amir Coffey,LAC,SF/PF,3400,13.09,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,1182,1390022
Derrick Jones Jr.,LAC,PF,4200,12.99,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,744,1389992
Ivica Zubac,LAC,C,7400,12.93,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,735,1389952
Kristaps Porzingis,BOS,C,7000,12.33,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,52,1389956
Santi Aldama,MEM,PF,4700,11.51,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,1441,1389983
Jayson Tatum,BOS,SF/PF,9600,11.16,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,802,1389936
Tobias Harris,DET,PF,5500,10.56,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,241,1389971
Matas Buzelis,CHI,SF/PF,3700,10.34,170487,NBA,DraftKings,2277,2025-09-18T03:15:14.913335+00:00,1770,1390010
