player_name,team,pos,salary,actual_own_pct,contest_id,sport,site,slate_id,scraped_at,player_id,salary_id
,,,,92.98,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182538+00:00,1561,1520254
,,,,70.03,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182545+00:00,1674,1520259
,,,,64.16,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182548+00:00,1059,1520258
Cedric Coward,MEM,SG,5800.0,52.42,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182550+00:00,1947,1520265
Santi Aldama,MEM,PF/C,6800.0,47.96,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182552+00:00,1441,1520263
,,,,42.22,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182554+00:00,1362,1520256
,,,,41.96,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182555+00:00,1228,1520257
,,,,36.48,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182558+00:00,972,1520264
,,,,35.97,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182560+00:00,1492,1520267
,,,,32.78,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182562+00:00,1418,1520255
,,,,17.47,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182567+00:00,1792,1520269
Goga Bitadze,ORL,C,2800.0,13.65,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182569+00:00,1144,1520273
Noah Penda,ORL,PF,3200.0,9.82,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182572+00:00,1904,1520271
,,,,9.44,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182574+00:00,1835,1520262
,,,,8.29,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182575+00:00,1604,1520268
John Konchar,MEM,SF,1000.0,6.25,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182577+00:00,1229,1520280
,,,,5.87,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182578+00:00,1714,1520270
,,,,3.83,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182581+00:00,1831,1520266
,,,,3.06,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182582+00:00,145,1520272
,,,,1.66,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182584+00:00,1022,1520275
,,,,64.0,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182586+00:00,1949,1520274
,,,,13.0,184099,NBA,DraftKings,2479,2026-01-18T17:38:07.182587+00:00,1905,1520277
,,,,89.23,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182590+00:00,1561,1520254
,,,,66.89,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182591+00:00,1674,1520259
,,,,65.32,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182593+00:00,1059,1520258
Cedric Coward,MEM,SG,5800.0,54.21,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182595+00:00,1947,1520265
,,,,41.19,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182596+00:00,1418,1520255
,,,,39.96,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182599+00:00,972,1520264
,,,,38.05,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182600+00:00,1362,1520256
,,,,37.82,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182602+00:00,1492,1520267
,,,,34.01,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182603+00:00,1228,1520257
Santi Aldama,MEM,PF/C,6800.0,33.67,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182605+00:00,1441,1520263
,,,,20.88,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182606+00:00,1792,1520269
,,,,18.97,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182608+00:00,1835,1520262
Goga Bitadze,ORL,C,2800.0,10.77,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182610+00:00,1144,1520273
,,,,9.54,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182611+00:00,1604,1520268
Noah Penda,ORL,PF,3200.0,7.3,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182613+00:00,1904,1520271
,,,,7.18,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182615+00:00,1831,1520266
,,,,4.83,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182617+00:00,145,1520272
John Konchar,MEM,SF,1000.0,4.15,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182619+00:00,1229,1520280
,,,,3.59,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182620+00:00,1714,1520270
,,,,2.92,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182622+00:00,1022,1520275
,,,,90.0,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182624+00:00,501,1520276
,,,,67.0,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182625+00:00,1949,1520274
,,,,56.00000000000001,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182627+00:00,854,1520279
,,,,34.0,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182628+00:00,1705,1520278
,,,,22.0,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182630+00:00,1905,1520277
,,,,11.0,184100,NBA,DraftKings,2479,2026-01-18T17:38:07.182632+00:00,1556,1520281
