player_name,team,pos,salary,proj_own_pct,proj_fpts,scored_fpts,floor_fpts,ceil_fpts,conf,value_per_k,game_id,home_team,away_team,matchup,game_ticks,ppg,opp_rank,opp_total,sport,site,slate_id,scraped_at,player_id,salary_id,daily_contest_id
LeBron James,LAL,SF/PF,11600,66.0,53.45,46.25,34.96,60.86,91.0,4.607758620689656,13815,LAL,IND,IND@LAL 5:30 PM,/Date(1702161000000-0500)/,48.5,25.0,30.0,NBA,DraftKings,2132,2025-09-18T02:14:14.299574+00:00,126,1207497,0
Tyrese Haliburton,IND,PG,12400,57.9,60.95,42.75,41.57,71.49,90.0,4.915322580645161,13815,LAL,LAL,IND@LAL 5:30 PM,/Date(1702161000000-0500)/,55.8,20.0,30.0,NBA,DraftKings,2132,2025-09-18T02:14:14.299835+00:00,1338,1207496,0
Anthony Davis,LAL,PF/C,11400,57.1,53.27,81.0,37.11,60.92,89.0,4.672807017543859,13815,LAL,IND,IND@LAL 5:30 PM,/Date(1702161000000-0500)/,51.3,19.0,30.0,NBA,DraftKings,2132,2025-09-18T02:14:14.299841+00:00,387,1207498,0
Isaiah Jackson,IND,C,3200,50.8,11.36,23.75,10.69,24.12,69.0,3.55,13815,LAL,LAL,IND@LAL 5:30 PM,/Date(1702161000000-0500)/,15.9,14.0,30.0,NBA,DraftKings,2132,2025-09-18T02:14:14.299847+00:00,1412,1207514,0
Bennedict Mathurin,IND,SG/SF,5200,48.8,21.8,27.0,12.37,33.28,81.0,4.1923076923076925,13815,LAL,LAL,IND@LAL 5:30 PM,/Date(1702161000000-0500)/,22.2,7.0,30.0,NBA,DraftKings,2132,2025-09-18T02:14:14.299851+00:00,1547,1207505,0
Myles Turner,IND,C,9200,40.4,36.5,21.75,27.46,43.72,86.0,3.9673913043478266,13815,LAL,LAL,IND@LAL 5:30 PM,/Date(1702161000000-0500)/,35.3,21.0,30.0,NBA,DraftKings,2132,2025-09-18T02:14:14.299854+00:00,175,1207499,0
Jarred Vanderbilt,LAL,PF/C,2600,28.9,8.03,12.5,3.97,19.84,82.0,3.088461538461538,13815,LAL,IND,IND@LAL 5:30 PM,/Date(1702161000000-0500)/,10.4,16.0,30.0,NBA,DraftKings,2132,2025-09-18T02:14:14.299856+00:00,1061,1207516,0
Austin Reaves,LAL,SG/SF,7800,28.8,32.2,35.0,19.98,38.11,84.0,4.128205128205129,13815,LAL,IND,IND@LAL 5:30 PM,/Date(1702161000000-0500)/,29.0,8.0,30.0,NBA,DraftKings,2132,2025-09-18T02:14:14.299861+00:00,1482,1207500,0
Bruce Brown,IND,PG/SF,6600,27.7,23.76,14.0,19.51,32.62,84.0,3.6000000000000005,13815,LAL,LAL,IND@LAL 5:30 PM,/Date(1702161000000-0500)/,25.1,11.0,30.0,NBA,DraftKings,2132,2025-09-18T02:14:14.299864+00:00,979,1207503,0
Buddy Hield,IND,SG/SF,7200,25.8,25.85,22.25,14.53,35.94,84.0,3.5902777777777777,13815,LAL,LAL,IND@LAL 5:30 PM,/Date(1702161000000-0500)/,24.9,11.0,30.0,NBA,DraftKings,2132,2025-09-18T02:14:14.299866+00:00,749,1207502,0
